"drugId"|"foodInteractionDescription"
"DB00044"|""
"DB00045"|""
"DB00046"|""
"DB00047"|""
"DB00048"|""
"DB00049"|""
"DB00050"|""
"DB00051"|""
"DB00052"|""
"DB00053"|""
"DB00054"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include ginseng, ginkgo, ginger, and garlic."
"DB00055"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00056"|""
"DB00057"|""
"DB00058"|""
"DB00059"|"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
"DB00060"|"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
"DB00061"|""
"DB00062"|""
"DB00063"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00065"|""
"DB00066"|""
"DB00067"|""
"DB00068"|"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
"DB00069"|""
"DB00070"|""
"DB00071"|"Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted."
"DB00072"|""
"DB00073"|""
"DB00074"|""
"DB00075"|""
"DB00076"|""
"DB00078"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00080"|""
"DB00081"|""
"DB00082"|""
"DB00083"|""
"DB00085"|"Drink plenty of fluids. Take with fluids. Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less."
"DB00086"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00087"|""
"DB00088"|""
"DB00089"|""
"DB00090"|""
"DB00091"|"Avoid grapefruit products. Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia. Avoid St. John's Wort. Take at the same time every day. Take consistently with regard to food."
"DB00092"|""
"DB00093"|""
"DB00094"|""
"DB00095"|""
"DB00097"|""
"DB00098"|""
"DB00099"|""
"DB00100"|""
"DB00102"|""
"DB00103"|""
"DB00104"|"Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%. Take with or without food. Octreotide injections may be taken with or without food."
"DB00105"|"Avoid alcohol."
"DB00106"|""
"DB00107"|""
"DB00108"|""
"DB00109"|""
"DB00110"|""
"DB00111"|""
"DB00112"|""
"DB00113"|""
"DB00114"|""
"DB00115"|"Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information."
"DB00116"|""
"DB00117"|""
"DB00118"|""
"DB00119"|""
"DB00120"|""
"DB00121"|"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption."
"DB00122"|""
"DB00123"|""
"DB00125"|""
"DB00126"|"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
"DB00127"|""
"DB00128"|""
"DB00129"|""
"DB00130"|"Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed."
"DB00131"|""
"DB00132"|""
"DB00133"|""
"DB00134"|"Take with food."
"DB00135"|""
"DB00136"|""
"DB00137"|"Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption."
"DB00138"|""
"DB00139"|""
"DB00140"|""
"DB00141"|""
"DB00142"|""
"DB00143"|""
"DB00144"|""
"DB00145"|""
"DB00146"|"Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively."
"DB00147"|""
"DB00148"|""
"DB00149"|""
"DB00150"|""
"DB00151"|""
"DB00152"|""
"DB00153"|""
"DB00154"|""
"DB00155"|""
"DB00156"|""
"DB00157"|""
"DB00158"|""
"DB00159"|""
"DB00160"|""
"DB00161"|""
"DB00162"|""
"DB00163"|"Take with or without food. High-fat foods may increase absorption of Vitamin E."
"DB00165"|""
"DB00166"|""
"DB00167"|""
"DB00168"|""
"DB00169"|""
"DB00170"|""
"DB00171"|""
"DB00172"|""
"DB00173"|""
"DB00174"|""
"DB00175"|"Take with or without food. Lipid lowering effects are similar in the fasting and fed state."
"DB00176"|"Avoid alcohol. Avoid grapefruit products. Limit caffeine intake. Take with or without food. The absorption is unaffected by food."
"DB00177"|"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
"DB00178"|"Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. Take with or without food. The absorption is unaffected by food."
"DB00179"|""
"DB00180"|""
"DB00181"|"Avoid alcohol. Take with food. Take with food or milk to reduce gastric irritation."
"DB00182"|"Take with or without food."
"DB00183"|""
"DB00184"|"Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use."
"DB00185"|""
"DB00186"|"Avoid alcohol. Limit caffeine intake. Take with food."
"DB00187"|""
"DB00188"|"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib. Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib. Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea. Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages."
"DB00189"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00190"|""
"DB00191"|"Limit caffeine intake. Take with or without food. The absorption is unaffected by food."
"DB00192"|""
"DB00193"|"Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol. Take with or without food. Co-administration of food does not affect pharmacokinetics."
"DB00194"|""
"DB00195"|"No food interactions are expected."
"DB00196"|"Take with or without food. The absorption is unaffected by food."
"DB00197"|""
"DB00198"|"Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability."
"DB00199"|"Avoid grapefruit products. Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption. Take with a full glass of water."
"DB00200"|""
"DB00201"|""
"DB00202"|""
"DB00203"|"Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working."
"DB00204"|"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide. Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels. Take with or without food."
"DB00205"|"Administer folic acid supplement. Folic acid need is increased. Take with food. Food reduces irritation."
"DB00206"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00207"|"Take on an empty stomach. Take at least 1 hour before or 2 hours after meals."
"DB00208"|"Take with a high fat meal. High fat meals will increase ticlopidine absorption. Take with food. Food can help ticlopidine-induced stomach upset."
"DB00209"|"Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal."
"DB00210"|""
"DB00211"|"Take with or without food. The absorption is unaffected by food."
"DB00212"|""
"DB00213"|"Take with or without food. The absorption is unaffected by food."
"DB00214"|"Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy."
"DB00215"|"Avoid alcohol. Avoid St. John's Wort. Co-administration of St. John's Wort with citalopram can increase the risk of serotonin syndrome. Take with or without food. The absorption is unaffected by food."
"DB00216"|"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent."
"DB00217"|""
"DB00218"|"Drink plenty of fluids. Take with or without food."
"DB00219"|""
"DB00220"|"Take with food. Food increases exposure and decreases pharmacokinetic variability."
"DB00221"|""
"DB00222"|"Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride. Take with food. The manufacturer recommends administration with the first meal of the day."
"DB00223"|""
"DB00224"|"Avoid excessive or chronic alcohol consumption. Avoid grapefruit products. Take on an empty stomach. Take at least 1 hour before or 2 hours after meals. Take with a full glass of water."
"DB00225"|""
"DB00226"|""
"DB00227"|"Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis. Take with food. Food increases bioavailability."
"DB00228"|""
"DB00229"|""
"DB00230"|"Avoid alcohol. Alcohol may increase CNS effects. Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
"DB00231"|"Avoid alcohol. Take with or without food."
"DB00232"|""
"DB00233"|"Take with or without food. The absorption is unaffected by food."
"DB00234"|""
"DB00235"|""
"DB00236"|""
"DB00237"|"Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased."
"DB00238"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00239"|""
"DB00240"|""
"DB00241"|"Avoid alcohol. Profound CNS depression can occur."
"DB00242"|"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
"DB00243"|"Avoid grapefruit products. Take with or without food. The absorption is unaffected by food."
"DB00244"|"Take with or without food. The absorption is unaffected by food."
"DB00245"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00246"|"Avoid alcohol. Take with food."
"DB00247"|"Take with food. Food reduces irritation."
"DB00248"|"Exercise caution with grapefruit products. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration. Exercise caution with St. John's Wort. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with St. John's Wort, a CYP3A4 inducer, may reduce its serum concentration. Take with or without food. Taking cabergoline with food may reduce gastric irritation."
"DB00249"|""
"DB00250"|"Take with or without food. The absorption is unaffected by food."
"DB00251"|""
"DB00252"|"Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin. Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption. Take with food. Food reduces irritation and increases bioavailability."
"DB00253"|""
"DB00254"|"Avoid multivalent ions. The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium. Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
"DB00255"|""
"DB00256"|"Take with or without food."
"DB00257"|""
"DB00258"|"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
"DB00259"|""
"DB00260"|"Do not take with or immediately after a high-fat meal. High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown."
"DB00261"|"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
"DB00262"|"Avoid echinacea."
"DB00263"|""
"DB00264"|"Avoid alcohol. Avoid natural licorice. Take with food."
"DB00265"|""
"DB00266"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
"DB00267"|""
"DB00268"|"Take with or without food. May take with food to reduce nausea."
"DB00269"|""
"DB00270"|"Take with or without food."
"DB00271"|""
"DB00272"|""
"DB00273"|"Avoid a ketogenic diet. This type of diet increases the risk of kidney stones. Take with or without food. Food slightly alters absorption but not to any clinically significant extent."
"DB00274"|""
"DB00275"|"Take with or without food. Food does not affect absorption."
"DB00276"|""
"DB00277"|"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline. Avoid St. John's Wort. Take with or without food. Take consistently with regard to food."
"DB00278"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba. Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting. Exercise caution with St. John's Wort."
"DB00279"|"Take with or without food."
"DB00280"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00281"|""
"DB00282"|""
"DB00283"|"Avoid alcohol. Take with food."
"DB00284"|"Take with food. Each dose should be taken with the first bite of a main meal."
"DB00285"|"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated. Avoid St. John's Wort. Co-administration of St. John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome. Take with food. Co-administration with food helps to alleviate or mitigate gastrointestinal upset."
"DB00286"|"Take with or without food. Consult individual product monograph for specific instructions."
"DB00287"|""
"DB00288"|""
"DB00289"|"Take with or without food."
"DB00290"|""
"DB00291"|"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use. Drink plenty of fluids. Take on an empty stomach. Co-administration with food decreases bioavailability."
"DB00292"|""
"DB00293"|""
"DB00294"|"Administer vitamin supplements. Avoid alcohol. Limit caffeine intake. Take at the same time every day. Take with food."
"DB00295"|"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death. Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food."
"DB00296"|""
"DB00297"|""
"DB00298"|""
"DB00299"|""
"DB00300"|"Take with or without food."
"DB00301"|"Take on an empty stomach."
"DB00302"|"Take with or without food. The co-administration of food does not significantly affect tranexamic acid disposition."
"DB00303"|""
"DB00304"|""
"DB00305"|""
"DB00306"|""
"DB00307"|"Take with food."
"DB00308"|""
"DB00309"|"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels. Exercise caution with St. John's Wort. Vindesine is metabolized by CYP3A4 and this herb induces CYP3A4 metabolism, which may reduce vindesine serum levels."
"DB00310"|"Take with food. Food may increase bioavailability."
"DB00311"|""
"DB00312"|""
"DB00313"|"Avoid alcohol. Avoid milk and dairy products. Take with food."
"DB00314"|""
"DB00315"|"Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan."
"DB00316"|"Avoid alcohol. Alcohol may increase the risk of hepatotoxicity. Take with or without food. The absorption is unaffected by food."
"DB00317"|"Avoid grapefruit products. Take with or without food. The absorption is unaffected by food."
"DB00318"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00319"|""
"DB00320"|"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine. Use caution if co-administering."
"DB00321"|"Avoid alcohol. Avoid St. John's Wort. Limit caffeine intake. Take with food. Food reduces irritation."
"DB00322"|""
"DB00323"|"Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone."
"DB00324"|""
"DB00325"|""
"DB00326"|""
"DB00327"|"Avoid alcohol. Take with or without food. Food does not significantly affect absorption."
"DB00328"|"Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding. Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
"DB00330"|"Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration. Take with food. Food reduces irritation."
"DB00331"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00332"|""
"DB00333"|"Avoid alcohol. Take with or without food. Food does not significantly affect absorption."
"DB00334"|"Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension. Take with or without food. The absorption of olanzapine is unaffected by food."
"DB00335"|""
"DB00336"|""
"DB00337"|""
"DB00338"|"Take before a meal. Allow 30-60 minutes before a meal."
"DB00339"|"Take with or without food. The absorption is unaffected by food."
"DB00340"|""
"DB00341"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00342"|"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4. Co-administration may increase terfenadine concentrations and the risk of QT prolongation. Exercise caution with St. John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4."
"DB00343"|"Avoid natural licorice. The risk of cardiovascular adverse effects may be increased."
"DB00344"|""
"DB00345"|""
"DB00346"|"Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach."
"DB00347"|"Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy."
"DB00348"|"Limit the intake of phenylalanine and tyrosine. Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals. Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours."
"DB00349"|"Avoid alcohol. Alcohol increases clobazam absorption by 50%. Take with or without food. The absorption is unaffected by food."
"DB00350"|"Take with or without food. The absorption is unaffected by food."
"DB00351"|"Take with food."
"DB00352"|"Take with or without food. However, food intake may lower tioguanine serum levels."
"DB00353"|"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine. Use caution if co-administering."
"DB00354"|""
"DB00355"|""
"DB00356"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00357"|"Take with or without food. The absorption is unaffected by food."
"DB00358"|"Avoid alcohol. Take with a full glass of water. Take with food. The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability."
"DB00359"|""
"DB00360"|"Take at the same time every day. Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce."
"DB00361"|"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine. Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism and may reduce the serum levels of vinorelbine."
"DB00362"|""
"DB00363"|"Avoid alcohol. Alcohol is a predisposing risk factor for seizure in combination with clozapine. Exercise caution with St. John's Wort. This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels. Limit caffeine intake. Caffeine may reduce clozapine metabolism. Take with or without food. The absorption is unaffected by food."
"DB00364"|"Take on an empty stomach. Take at least 1 hour before or 2 hours after meals. Take separate from antacids. Take at least 30 minutes before or after antacids."
"DB00365"|"Avoid caffeine. Drink plenty of fluids. Take with or without food. The absorption is unaffected by food."
"DB00366"|"Avoid alcohol. Co-administration may increase drowsiness and fall risk."
"DB00367"|"Take at the same time every day. Take with or without food. The effect of food on absorption has not been evaluated."
"DB00368"|""
"DB00369"|""
"DB00370"|"Avoid alcohol. Take with or without food. Food does not significantly affect absorption."
"DB00371"|"Avoid alcohol. Take with or without food. Food does not significantly affect absorption."
"DB00372"|"Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine."
"DB00373"|""
"DB00374"|"Take with food. Taking treprostinil with food increases oral absorption."
"DB00375"|"Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids. Take with food."
"DB00376"|"Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation."
"DB00377"|"Take with or without food."
"DB00378"|""
"DB00379"|"Take with food. Food reduces irritation."
"DB00380"|""
"DB00381"|"Avoid grapefruit products. Avoid natural licorice. Take with or without food. The absorption is unaffected by food."
"DB00382"|"Take on an empty stomach. Take tacrine at least one hour before meals for optimal absorption."
"DB00383"|""
"DB00384"|"Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods."
"DB00385"|""
"DB00387"|"Take with or without food. Taking with food may reduce the adverse effects of procyclidine."
"DB00388"|""
"DB00389"|""
"DB00390"|"Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours. Avoid potassium-containing products. They may cause arrhythmias when given with digoxin. Avoid St. John's Wort. This drug can decrease digoxin levels. Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours."
"DB00391"|"Avoid alcohol. Alcohol enhances the sedative effects of sulpiride."
"DB00392"|""
"DB00393"|"Avoid grapefruit products. Take with or without food. Take consistently at the same time in regard to meals."
"DB00394"|""
"DB00395"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00396"|"Administer vitamin supplements. Avoid alcohol. Limit caffeine intake. Take at the same time every day. Take with food."
"DB00397"|"Limit caffeine intake. Take with or without food. The absorption is unaffected by food."
"DB00398"|"Do not take with or immediately after a high-fat meal. Take sorafenib at least 1 hour before or 2 hours after a high-fat meal, as sorafenib absorption can be reduced by a high-fat meal. Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib. Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib. Take on an empty stomach. Take sorafenib at least one hour before or two hours after a meal."
"DB00399"|""
"DB00400"|"Avoid alcohol. Take with a high fat meal."
"DB00401"|"Avoid grapefruit products."
"DB00402"|"Avoid alcohol. Do not take with or immediately after a high-fat meal. This decreases the absorption of eszopiclone."
"DB00403"|""
"DB00404"|"Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug. Avoid grapefruit products. Limit caffeine intake. Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected."
"DB00405"|"Avoid alcohol. Taking with alcohol may increase drowsiness."
"DB00406"|""
"DB00407"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
"DB00408"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00409"|""
"DB00410"|""
"DB00411"|""
"DB00412"|"Take with or without food."
"DB00413"|"Take with or without food. Food decreases the risk of GI side effects."
"DB00414"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00415"|"Take on an empty stomach."
"DB00416"|""
"DB00417"|"Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food."
"DB00418"|"Avoid alcohol. Taking with alcohol may cause additive CNS depression. Take on an empty stomach. This may increase the rate of absorption."
"DB00419"|"Take at the same time every day. Take with or without food."
"DB00420"|"Avoid alcohol. Additive CNS depression may occur if alcohol is consumed. Avoid antacids. The absorption of promazine may be reduced by antacid use."
"DB00421"|"Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. Take with or without food. Food increases the bioavailability of spironolactone by approximately 95.4%. It should be taken at a consistent time in regards to food."
"DB00422"|"Avoid alcohol. Co-administration with alcohol may cause a dose-dumping effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate. Take with or without food. Patients may take methylphenidate with food to alleviate GI upset."
"DB00423"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00424"|"Take before a meal. Take 30-60 minutes before a meal. Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals."
"DB00425"|"Avoid alcohol. Take separate from meals. This drug should not be administered with or immediately after a meal."
"DB00426"|"Take with or without food. The absorption is unaffected by food."
"DB00427"|"Avoid alcohol. Taking with alcohol may increase drowsiness."
"DB00428"|""
"DB00429"|""
"DB00430"|""
"DB00431"|"Avoid excessive or chronic alcohol consumption."
"DB00432"|"Take with food."
"DB00433"|"Avoid alcohol. The drug may intensify or prolong the action of central nervous system depressants."
"DB00434"|"Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine."
"DB00435"|""
"DB00436"|"Take with food. Food increases bioavailability."
"DB00437"|"Avoid alcohol. Take with a full glass of water. Take with food."
"DB00438"|""
"DB00439"|"Avoid grapefruit products. Take with or without food. The absorption is unaffected by food."
"DB00440"|""
"DB00441"|""
"DB00442"|"Take on an empty stomach. Take 2 hours before or 2 hours after a meal."
"DB00443"|""
"DB00444"|"Exercise caution with grapefruit products. Teniposide is a CYP3A4 substrate, and grapefruit inhibits CYP3A4 metabolism, coadministration may increase the serum concentrations of teniposide. Exercise caution with St. John's Wort. Teniposide is a CYP3A4 substrate, and St. John's Wort induces CYP3A4 metabolism, coadministration may reduce the serum concentrations of teniposide."
"DB00445"|"Drink plenty of fluids. Increased fluid intake increases urine output and the excretion of uric acid."
"DB00446"|"Take on an empty stomach."
"DB00447"|"Take on an empty stomach. Food decreases absorption."
"DB00448"|"Take before a meal. Take 30-60 minutes before meals."
"DB00449"|""
"DB00450"|""
